window,Queueing Delay,Throughput
1000,0,48078.7200737
2000,1.55339805825e-06,96063.9400629
5000,1.55339805825e-05,240968.595215
10000,6.99029126214e-05,478883.412012
15000,0.000163106796117,713802.135358
20000,0.000295145631068,949971.935836
